source_id,ship_name,chamber,remarks,archival_reference,uid,source_type,das_voyage_id
1975,Reigersdaal,Delft,,NL-HaNA/1.04.02/13876////,8800ae96-b395-4f0e-a8da-c6362aec5b3b,pay_ledger,92893
1976,Voorschoten,Delft,,NL-HaNA/1.04.02/13877////,1179604f-449a-45e5-b4c5-1afb8375b6ca,pay_ledger,92918
1977,Donkervliet,Delft,,NL-HaNA/1.04.02/13878////,b2f8d8c2-7f91-46f3-bff1-ea5c96fe2e7e,pay_ledger,92934
1978,Wateringen,Delft,,NL-HaNA/1.04.02/13879////,8488d36b-8d7d-4a77-a5eb-7dfedcf9d647,pay_ledger,92946
1979,Schoonderloo,Delft,,NL-HaNA/1.04.02/13880////,2bd51cea-ca3f-4c73-b511-ab2217f16086,pay_ledger,92977
1980,Vecht,Delft,,NL-HaNA/1.04.02/13881////,9daa9fa6-c370-4253-920d-2db692e4ad22,pay_ledger,92962
1981,Bogaard,Delft,,NL-HaNA/1.04.02/13882////,257a42b4-94b5-40b7-9e31-4479cb753fc8,pay_ledger,92993
1982,Reigersdaal,Delft,,NL-HaNA/1.04.02/13883////,7f6598c1-829f-41d9-8887-460e7060db7f,pay_ledger,92996
1983,Donkervliet,Delft,,NL-HaNA/1.04.02/13884////,b810db81-5ea2-4335-8b39-e47e6c6c73ae,pay_ledger,93018
1984,Huis te Bijweg,Delft,,NL-HaNA/1.04.02/13885////,c20a8065-00e2-493d-a155-7033745fddad,pay_ledger,93003
1985,Wassenaar,Delft,,NL-HaNA/1.04.02/13886////,5b583cfe-2098-424e-9c30-04e086bf088b,pay_ledger,93041
1986,Grimmestein,Delft,,NL-HaNA/1.04.02/13887////,6bfb61c5-2936-40c7-8aca-cb5a045d2d2e,pay_ledger,93048
1987,Naters,Delft,,NL-HaNA/1.04.02/13888////,90856046-a14f-469c-9a73-767d916e8eaf,pay_ledger,93059
1988,Schoonderloo,Delft,,NL-HaNA/1.04.02/13889////,25a63d4b-2f52-4122-83ae-c7486343b536,pay_ledger,93070
1989,Schellenberg,Delft,,NL-HaNA/1.04.02/13890////,29ab76da-0643-4dc4-bd9f-29b4a447f4b2,pay_ledger,93099
1990,Vrijburg,Delft,,NL-HaNA/1.04.02/13891////,88dbf22b-c154-41bb-bdc5-97f13df80abc,pay_ledger,93093
1991,Wateringen,Delft,,NL-HaNA/1.04.02/13892////,37ae3e26-77ee-495e-9019-e06e0fdc717d,pay_ledger,93113
1992,Arendsduin,Delft,,NL-HaNA/1.04.02/13893////,067cf455-cfb4-46f4-bd03-2cb6e1a5b150,pay_ledger,93133
1993,Donkervliet,Delft,,NL-HaNA/1.04.02/13894////,587e342f-6734-47b5-971e-88e3808b7896,pay_ledger,93134
1994,Meerman,Delft,,NL-HaNA/1.04.02/13895////,63259289-8ad1-4d88-b253-5ff28145aaca,pay_ledger,93148
1995,Wassenaar,Delft,,NL-HaNA/1.04.02/13896////,de7a4d97-2be7-4708-bbbd-be114d8e9f02,pay_ledger,93168
1996,Wijnendaal,Delft,,NL-HaNA/1.04.02/13897////,646355f4-2144-446a-b26c-9114a3fc3d90,pay_ledger,93170
1997,Hoedekenskerke,Delft,,NL-HaNA/1.04.02/13898////,e17fe8f4-d704-4926-b060-e5d05a0d1e3d,pay_ledger,93188
1998,Voorburg,Delft,,NL-HaNA/1.04.02/13899////,1e19fdea-3c95-4ee5-a8f1-f603e9c3147b,pay_ledger,93202
1999,Wassenaar,Delft,,NL-HaNA/1.04.02/13900////,62e45020-af68-4765-af26-e420e3a70601,pay_ledger,93232
2000,Koning Karel de Derde,Delft,,NL-HaNA/1.04.02/13901////,63f8f77b-7d2e-4bcb-9477-24c9b154136c,pay_ledger,93247
2001,Donau,Delft,,NL-HaNA/1.04.02/13902////,4e0b05b3-6b22-46ea-b98c-bcf214ec4d84,pay_ledger,93279
2002,Ter Horst,Delft,,NL-HaNA/1.04.02/13903////,5f70a9ef-33a4-4a4a-96c7-d1593e41f075,pay_ledger,93265
2003,Nederhoven,Delft,,NL-HaNA/1.04.02/13904////,bd999a73-f0b4-423a-840a-dff55a270336,pay_ledger,91599
2004,Spiering,Delft,,NL-HaNA/1.04.02/13905////,33f338c7-ec94-4063-9765-ea785e73d56a,pay_ledger,93300
2005,Horstendaal,Delft,,NL-HaNA/1.04.02/13906////,323a0c30-dac6-4a8e-819c-455c78e5c311,pay_ledger,93319
2006,Schoteroog,Delft,,NL-HaNA/1.04.02/13907////,7fe8b187-f1bf-4126-b61b-6b9b1247284f,pay_ledger,93307
2007,Haringtuin,Delft,,NL-HaNA/1.04.02/13908////,ab42cfdc-61a1-4729-98fb-3ce9ddd1211c,pay_ledger,93329
2008,Samson,Delft,,NL-HaNA/1.04.02/13909////,973cb79d-3146-48e1-89e0-c562886c8982,pay_ledger,93352
2009,Voorburg,Delft,,NL-HaNA/1.04.02/13910////,068cf950-d614-482f-a2cf-ebb21335702f,pay_ledger,93341
2010,Den Dam,Delft,,NL-HaNA/1.04.02/13911////,a6483a47-93de-4bbb-a428-47f8a7238990,pay_ledger,93370
2011,Arendsduin,Delft,,NL-HaNA/1.04.02/13912////,316b39c9-8764-4ea9-8840-d65ed95dfcb2,pay_ledger,93391
2012,Westhoven,Delft,,NL-HaNA/1.04.02/13913////,b9c2161e-3eee-4744-b8e9-7a489813bbeb,pay_ledger,93377
2013,Delfland,Delft,,NL-HaNA/1.04.02/13914////,1c508034-facd-44e5-b1e7-181807fce43e,pay_ledger,93402
2014,Rotterdam,Delft,,NL-HaNA/1.04.02/13915////,90c98e97-1bce-46c9-bfc7-c776126dd31d,pay_ledger,93407
2015,Stadhuis van Delft,Delft,,NL-HaNA/1.04.02/13916////,88985e5f-9bf2-4b92-82c7-d46cccbb1cb3,pay_ledger,93424
2016,Ter Horst,Delft,,NL-HaNA/1.04.02/13917////,3fdcd24f-390e-4ba2-ba49-9660d24e4d98,pay_ledger,93454
2017,Zoetigheid,Delft,,NL-HaNA/1.04.02/13918////,c23df0ab-f0a1-4649-9cbe-b030642b21db,pay_ledger,93438
2018,Goudriaan,Delft,,NL-HaNA/1.04.02/13919////,db16b76c-a646-4a5f-af4d-b1b9ee6bae84,pay_ledger,93467
2019,Vaderland Getrouw,Delft,,NL-HaNA/1.04.02/13920////,f8eb098d-2cc0-4f1e-83ec-7e7fd2910f6b,pay_ledger,93501
