place_standardized_id,place_standardized,country_code,place_standardized_cc,authority_file_uri,latitude,longitude,region
1,Aabenraa,DK,Aabenraa DK,http://sws.geonames.org/2625070/,55.04434,9.41741,C
2,Aachen,DE,Aachen DE,http://sws.geonames.org/3247449/,50.77664,6.08342,A
3,Aagtekerke,NL,Aagtekerke NL,http://sws.geonames.org/2760147/,51.54667,3.50972,A
4,Aalbeek,NL,Aalbeek NL,http://sws.geonames.org/2760145/,50.9,5.85139,A
5,Aalborg,DK,Aalborg DK,http://sws.geonames.org/2624886/,57.048,9.9187,C
6,Aalburg,NL,Aalburg NL,http://sws.geonames.org/2760144/,51.75482,5.13156,A
7,Aalden,NL,Aalden NL,http://sws.geonames.org/2760142/,52.79,6.71806,A
8,Aalen,DE,Aalen DE,http://sws.geonames.org/2959927/,48.83777,10.0933,D
9,Aalsmeer,NL,Aalsmeer NL,http://sws.geonames.org/2760134/,52.25917,4.75972,A
10,Aalst,BE,Aalst BE,http://sws.geonames.org/2803448/,50.93604,4.0355,A
11,Aalst,NL,Aalst NL,http://sws.geonames.org/2760131/,51.7825,5.12778,A
12,Aalsum,NL,Aalsum NL,http://sws.geonames.org/2760124/,53.3075,6.36944,A
13,Aalten,NL,Aalten NL,http://sws.geonames.org/2760123/,51.925,6.58056,A
14,Aarau,CH,Aarau CH,http://sws.geonames.org/2661881/,47.39254,8.04422,D
15,Aarbergen,DE,Aarbergen DE,http://sws.geonames.org/3208019/,50.25,8.06667,D
16,Aarburg,CH,Aarburg CH,http://sws.geonames.org/2661879/,47.32067,7.89986,D
17,Aardenburg,NL,Aardenburg NL,http://sws.geonames.org/2760096/,51.27333,3.44722,A
18,Aarhus,DK,Aarhus DK,http://sws.geonames.org/2624652/,56.15674,10.21076,C
19,Aarlanderveen,NL,Aarlanderveen NL,http://sws.geonames.org/2760092/,52.14083,4.72778,A
20,Aarle-Rixtel,NL,Aarle-Rixtel NL,http://sws.geonames.org/6698718/,51.50976,5.63839,A
21,Aarlen,BE,Aarlen BE,http://sws.geonames.org/2803073/,49.68333,5.81667,F
22,Aars,DK,Aars DK,http://sws.geonames.org/2624602/,56.80399,9.51441,C
23,Aarschot,BE,Aarschot BE,http://sws.geonames.org/2803429/,50.98715,4.83695,A
24,Aarsele,BE,Aarsele BE,http://sws.geonames.org/2803427/,50.99663,3.41954,A
25,Aartrijke,BE,Aartrijke BE,http://sws.geonames.org/8521705/,51.11915,3.09076,A
26,Aartswoud,NL,Aartswoud NL,http://sws.geonames.org/2760085/,52.74333,4.94861,A
27,Abbehausen,DE,Abbehausen DE,http://sws.geonames.org/2959898/,53.48431,8.43845,B
28,Abbehausen-Ellwürden,DE,Abbehausen-Ellwürden DE,http://sws.geonames.org/2959898/,53.48431,8.43845,B
29,Abbekerk,NL,Abbekerk NL,http://sws.geonames.org/2760078/,52.73167,5.01806,A
30,Abbenbroek,NL,Abbenbroek NL,http://sws.geonames.org/2760075/,51.84833,4.24306,A
31,Abbendorf,DE,Abbendorf DE,http://sws.geonames.org/2959889/,52.89904,11.91325,B
32,Abbenhausen,DE,Abbenhausen DE,http://sws.geonames.org/2959886/,52.82516,8.63477,B
33,Abbenrode,DE,Abbenrode DE,http://sws.geonames.org/2959884/,52.24931,10.72522,B
35,Abbeville,FR,Abbeville FR,http://sws.geonames.org/3038789/,50.1,1.83333,F
36,Abcoude,NL,Abcoude NL,http://sws.geonames.org/2760067/,52.2725,4.96944,A
37,Abele,BE,Abele BE,http://sws.geonames.org/2803400/,50.81667,2.66667,A
38,Abenheim,DE,Abenheim DE,http://sws.geonames.org/2959847/,49.67612,8.28392,D
39,Abens,DE,Abens DE,http://sws.geonames.org/2959845/,53.5966,7.72612,B
40,Aberdeen,GB,Aberdeen GB,http://sws.geonames.org/2657832/,57.14369,-2.09814,E
41,Aboncourt,FR,Aboncourt FR,http://sws.geonames.org/3038748/,49.26047,6.34792,F
42,Abstatt,DE,Abstatt DE,http://sws.geonames.org/2959793/,49.0682,9.2907,D
43,Abteroda,DE,Abteroda DE,http://sws.geonames.org/2959783/,50.90217,10.07652,D
45,Abtlöbnitz,DE,Abtlöbnitz DE,http://sws.geonames.org/2959778/,51.08038,11.71897,D
46,Accumersiel,DE,Accumersiel DE,http://sws.geonames.org/2959740/,53.52658,8.04973,B
47,Achenheim,FR,Achenheim FR,http://sws.geonames.org/3038715/,48.5807,7.62803,D
48,Achim,DE,Achim DE,http://sws.geonames.org/2959681/,53.01416,9.0263,B
49,Achterberg,NL,Achterberg NL,http://sws.geonames.org/2760049/,51.9725,5.5875,A
50,Achterhoek,NL,Achterhoek NL,http://sws.geonames.org/2760025/,52.21917,5.40833,A
51,Achterveld,NL,Achterveld NL,http://sws.geonames.org/2759995/,52.13583,5.49722,A
52,Achttienhoven,NL,Achttienhoven NL,http://sws.geonames.org/2759977/,52.14833,5.13889,A
53,Acquoy,NL,Acquoy NL,http://sws.geonames.org/2759975/,51.87917,5.13611,A
54,Adegem,BE,Adegem BE,http://sws.geonames.org/2803347/,51.20509,3.4954,A
55,Adelebsen,DE,Adelebsen DE,http://sws.geonames.org/2959548/,51.58272,9.75461,D
56,Adelsdorf,DE,Adelsdorf DE,http://sws.geonames.org/2959513/,49.71216,10.895,D
57,Adelshausen,DE,Adelshausen DE,http://sws.geonames.org/2959509/,51.11059,9.57345,D
58,Adelsheim,DE,Adelsheim DE,http://sws.geonames.org/2959508/,49.4015,9.3925,D
59,Adelshofen,DE,Adelshofen DE,http://sws.geonames.org/2959503/,49.16888,8.8911,D
60,Adenau,DE,Adenau DE,http://sws.geonames.org/2959489/,50.38238,6.93291,D
61,Adenbach,DE,Adenbach DE,http://sws.geonames.org/2959486/,49.66667,7.65,D
62,Adenberg,DE,Adenberg DE,http://sws.geonames.org/2959484/,48.58555,13.12083,D
63,Adenstedt,DE,Adenstedt DE,http://sws.geonames.org/2959474/,52.24978,10.16575,B
64,Adersheim,DE,Adersheim DE,http://sws.geonames.org/2959466/,52.14324,10.4614,B
65,Adersleben,DE,Adersleben DE,http://sws.geonames.org/2959465/,51.89493,11.18693,D
