das_voyage_id,direction,ship_name,ship_tonnage,chamber,departure_date,departure_place,arrival_date_cape,departure_date_cape,arrival_date,arrival_place
91055,outward,Amsterdam,260,,1595-04-02,Texel,nan,nan,1596-06-06,Engano
91056,outward,Duifje,50,,1595-04-02,Texel,nan,nan,1596-06-06,Engano
91057,outward,Hollandia,460,,1595-04-02,Texel,nan,nan,1596-06-06,Engano
91058,outward,Mauritius,460,,1595-04-02,Texel,nan,nan,1596-06-06,Engano
91059,outward,Langebark,300,,1598-03-25,Zeeland,nan,nan,1599-03,Bantam
91060,outward,Maan,,,1598-03-25,Zeeland,nan,nan,nan,
91061,outward,Zon,140,,1598-03-25,Zeeland,nan,nan,1599-02,Bantam
91062,outward,Leeuw,400,,1598-03-28,Veere,nan,nan,1599-06-30,Atjeh
91063,outward,Leeuwin,250,,1598-03-28,Veere,nan,nan,1599-06-30,Atjeh
91064,outward,Amsterdam,500,,1598-05-01,Texel,nan,nan,1598-12-27,Engano
91065,outward,Friesland,180,,1598-05-01,Texel,nan,nan,1598-12-27,Engano
91066,outward,Gelderland,360,,1598-05-01,Texel,nan,nan,1598-12-27,Engano
91067,outward,Hollandia,460,,1598-05-01,Texel,nan,nan,1598-11-26,Bantam
91068,outward,Mauritius,460,,1598-05-01,Texel,nan,nan,1598-11-26,Bantam
91069,outward,Overijssel,50,,1598-05-01,Texel,nan,nan,1598-11-26,Bantam
91070,outward,Utrecht,240,,1598-05-01,Texel,nan,nan,1598-12-27,Engano
91071,outward,Zeelandia,360,,1598-05-01,Texel,nan,nan,1598-12-27,Engano
91072,outward,Blijde Boodschap,150,,1598-06-27,Goeree,nan,nan,nan,
91073,outward,Geloof,320,,1598-06-27,Goeree,nan,nan,nan,
91074,outward,Hoop,500,,1598-06-27,Goeree,nan,nan,nan,
91075,outward,Liefde,300,,1598-06-27,Goeree,nan,nan,nan,
91076,outward,Postiljon,,,nan,,nan,nan,nan,
91077,outward,Trouw,220,,1598-06-27,Goeree,nan,nan,1601-01-03,Tidore
91078,outward,Eendracht,50,,1598-09-13,Zeeland,nan,nan,nan,
91079,outward,Hendrik Frederik,350,,1598-09-13,Zeeland,nan,nan,1601-02,Ternate
91080,outward,Hoop,50,,1598-09-13,Zeeland,nan,nan,nan,
91081,outward,Mauritius,250,,1598-09-13,Zeeland,nan,nan,1601-01-29,Djaratan
91082,outward,Wassende Maan,500,,1599-04-06,Texel,nan,nan,1600-03-13,Bantam
91083,outward,Morgenster,400,,1599-04-06,Texel,nan,nan,1600-03-13,Bantam
91084,outward,Zon,580,,1599-04-06,Texel,nan,nan,1600-03-13,Bantam
91085,outward,Friesland,180,,1599-12-21,Texel,nan,nan,1600-09-01,Bantam
91086,outward,Hollandia,460,,1599-12-21,Texel,nan,nan,1600-09-01,Bantam
91087,outward,Overijssel,50,,1599-12-21,Texel,nan,nan,1600-09-01,Bantam
91088,outward,Mauritius,460,,1599-12-21,Texel,nan,nan,1600-09-01,Bantam
91089,outward,Hof Van Holland,360,,1599-12-21,Texel,nan,nan,1600-08-06,Bantam
91090,outward,Verenigde Landen,,,1599-12-21,Texel,nan,nan,1600-08-06,Bantam
91091,outward,Nassau,,,1599-12-21,Texel,nan,nan,1600-08-06,Bantam
91092,outward,Nederland,,,1599-12-21,Texel,nan,nan,1600-08-06,Bantam
91093,outward,Zwarte Arend,600,,1600-06-28,Texel,nan,nan,1601-10,Bantam
91094,outward,Witte Arend,600,,1600-06-28,Texel,nan,nan,1601-10,Bantam
91095,outward,Amsterdam,900,,1600-06-28,Texel,nan,nan,1601-03-30,Bantam
91096,outward,Delft,300,,1600-06-28,Texel,nan,nan,1601-03-30,Bantam
91097,outward,Dordrecht,900,,1600-06-28,Texel,nan,nan,1601-08-09,Bantam
91098,outward,Gouda,280,,1600-06-28,Texel,nan,nan,1601-03-30,Bantam
91099,outward,Haarlem,350,,1600-06-28,Texel,nan,nan,1601-08-09,Bantam
91100,outward,Leiden,280,,1600-06-28,Texel,nan,nan,1601-08-09,Bantam
91101,outward,Langebark,300,,1601-01-28,Zeeland,nan,nan,1601-08-23,Atjeh
91102,outward,Middelburg,400,,1601-01-28,Zeeland,nan,nan,1601-08-23,Atjeh
91103,outward,Zeelandia,600,,1601-01-28,Zeeland,nan,nan,1601-08-23,Atjeh
91104,outward,Zon,140,,1601-01-28,Zeeland,nan,nan,1601-08-23,Atjeh
91105,outward,Gelderland,360,,1601-04-23,Texel,nan,nan,1601-12-26,Bantam
91106,outward,Duifje,60,,1601-04-23,Texel,nan,nan,1601-12-26,Bantam
91107,outward,Utrecht,240,,1601-04-23,Texel,nan,nan,1601-12-26,Bantam
91108,outward,Wachter,130,,1601-04-23,Texel,nan,nan,1601-12-26,Bantam
91109,outward,Zeelandia,360,,1601-04-23,Texel,nan,nan,1601-12-26,Bantam
91110,outward,Alkmaar,,,1601-04-23,Texel,nan,nan,1602-02-22,Bantam
91111,outward,Amsterdam,500,,1601-04-23,Texel,nan,nan,1602-02-22,Bantam
91112,outward,Enkhuizen,,,1601-04-23,Texel,nan,nan,1602-02-22,Bantam
91113,outward,Hoorn,,,1601-04-23,Texel,nan,nan,1602-02-22,Bantam
91114,outward,Groene Leeuw,,,1601-04-23,Texel,nan,nan,1602-02-22,Bantam
91115,outward,Rode Leeuw,,,1601-04-23,Texel,nan,nan,nan,
91116,outward,Witte Leeuw,540,,1601-04-23,Texel,nan,nan,1602-02-22,Bantam
91117,outward,Zwarte Leeuw,,,1601-04-22,Wielingen,nan,nan,1602-04-04,Bantam
91118,outward,Lam,,,1601-05-05,Veere,nan,nan,nan,Atjeh
91119,outward,Ram,110,,1601-05-05,Veere,nan,nan,1602-09-16,Atjeh
91120,outward,Schaap,110,,1601-05-05,Veere,nan,nan,1602-09-16,Atjeh
91121,outward,Ter Goes,240,Zeeland,1602-03-31,Wielingen,nan,nan,1602-11-28,Ceylon
91122,outward,Vlissingen,400/500,Zeeland,1602-03-31,Wielingen,nan,nan,1602-11-28,Ceylon
91123,outward,Zierikzee,760,Zeeland,1602-03-31,Wielingen,nan,nan,1602-11-28,Ceylon
91124,outward,Maagd Van Enkhuizen,320,Enkhuizen,1602-06-17,Texel,nan,nan,1603-04-29,Bantam
91125,outward,Hollandia,600,Amsterdam,1602-06-17,Texel,nan,nan,1603-03-10,Atjeh
91126,outward,Maan,500,Amsterdam,1602-06-17,Texel,nan,nan,1603-04-29,Bantam
91127,outward,Mauritius,700,Amsterdam,1602-06-17,Texel,nan,nan,1603-04-29,Bantam
